Service #,Service Name,Fund #,Fund,Fund- # & Name,Dept #,Dept Name,SubDept#,SubDept Name,Service Area,Type,Acct #,Acct Name,Acct Cat,AU All,budgetType,Amount,Year,PerCapita
197170,Medicare Supplement,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197170-45186,adopted,-254312,2016,-0.4917814683
197180,Medicare Advantage Plan,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197180-45185,adopted,-971630,2016,-1.878911054
197180,Medicare Advantage Plan,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197180-45186,adopted,-303647,2016,-0.5871841183
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,44611,Health Program-Administration,Federal & State Funds,210002-44611,adopted,-238788,2016,-0.4617615891
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210002-44613,adopted,-804,2016,-0.001554752825
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,45350,Consultation and Training Fees,User Charges,210002-45350,adopted,-30096,2016,-0.05819880725
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,49309,Copies,Other,210002-49309,adopted,0,2016,0
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,49990,Miscellaneous,Other,210002-49990,adopted,-350,2016,-0.0006768202597
210105,AIDS-Federal,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210105-44129,adopted,-27996,2016,-0.05413788569
210110,AIDS-State,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44621,Health Program - Aids,Federal & State Funds,210110-44621,adopted,-24996,2016,-0.04833656918
210125,Case Management-Frail/Elderly,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44139,Federal Home & Community Care Block Grant,Federal & State Funds,210125-44139,adopted,-312492,2016,-0.6042883332
210125,Case Management-Frail/Elderly,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49507,Community,Other,210125-49507,adopted,-50,2016,-0.00009668860853
210141,U Way Univ Newborn Home Visit,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49511,United Way,Other,210141-49511,adopted,-84344,2016,-0.16310208
210150,Child Care Nursing-Smart Start,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44664,Smart Start,Federal & State Funds,210150-44664,adopted,-309444,2016,-0.5983941956
210155,Child Fatality Prevention,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210155-44616,adopted,-4500,2016,-0.008701974768
210165,Communicable Disease Investgtn,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44619,Health-Communicable Disease,Federal & State Funds,210165-44619,adopted,-15955,2016,-0.03085333498
210170,Community Alternatives Program,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210170-45302,adopted,-839100,2016,-1.622628228
210175,Community Health Response Prog,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45304,Self Pay,User Charges,210175-45304,adopted,-16404,2016,-0.03172159869
210185,Community Servs Coord-MedMax,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210185-47101,adopted,-56400,2016,-0.1090647504
210190,Community Servcs Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44168,Department of Education,Federal & State Funds,210190-44168,adopted,-169325,2016,-0.3274359728
210190,Community Servcs Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210190-45302,adopted,-979488,2016,-1.894106636
210191,Care Coordination for Children,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210191-45302,adopted,0,2016,0
210225,HIV/STD Nontraditnl Test Sites,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44619,Health-Communicable Disease,Federal & State Funds,210225-44619,adopted,-372492,2016,-0.7203146634
210235,Maternal Care Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210235-44616,adopted,-32916,2016,-0.06365204477
210235,Maternal Care Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210235-45302,adopted,-1209780,2016,-2.339438897
210240,School Nursing,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210240-44616,adopted,-654960,2016,-1.266543421
210240,School Nursing,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49465,Guilford County Schools Refund,Other,210240-49465,adopted,-297852,2016,-0.5759779086
210245,Smart Start Case Management,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44664,Smart Start,Federal & State Funds,210245-44664,adopted,-503700,2016,-0.9740410424
210251,Urban Oasis Grant,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,210251-44101,adopted,0,2016,0
210252,Mobile Oasis Farmers Mrkt Grt,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,210252-44101,adopted,0,2016,0
210255,Syphillis Elimination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210255-44129,adopted,-50112,2016,-0.09690519102
210260,Tobacco Prevention,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44166,Health Program - Cancer,Federal & State Funds,210260-44166,adopted,-99516,2016,-0.1924412713
210282,Healthy Communities,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210282-44613,adopted,-26832,2016,-0.05188697488
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45350,Consultation and Training Fees,User Charges,210305-45350,adopted,-2004,2016,-0.00387527943
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49325,Books and Maps,Other,210305-49325,adopted,-5004,2016,-0.009676595942
210320,Clinical Services-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210320-45309,adopted,-25932,2016,-0.05014657993
210320,Clinical Services-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210320-47101,adopted,-65000,2016,-0.1256951911
210330,Communicable Disease TB MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210330-45309,adopted,-5004,2016,-0.009676595942
210330,Communicable Disease TB MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210330-47101,adopted,-15000,2016,-0.02900658256
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44618,Health Program-Tuberculosis,Federal & State Funds,210335-44618,adopted,-119772,2016,-0.2316117604
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210335-45302,adopted,-6816,2016,-0.01318059112
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210335-45304,adopted,-4128,2016,-0.007982611521
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210335-45305,adopted,-228,2016,-0.0004409000549
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44682,Medical Evidence Fees,Federal & State Funds,210340-44682,adopted,-1826,2016,-0.003531067984
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210340-45302,adopted,-37932,2016,-0.07335184598
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45303,Medicare,User Charges,210340-45303,adopted,-504,2016,-0.000974621174
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210340-45304,adopted,-65568,2016,-0.1267935737
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210340-45305,adopted,-75864,2016,-0.146703692
210350,Employee Health Service,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210350-45302,adopted,-4032,2016,-0.007796969392
210350,Employee Health Service,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210350-45304,adopted,-1944,2016,-0.0037592531
210350,Employee Health Service,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210350-45305,adopted,-276,2016,-0.0005337211191
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44144,Family Planning,Federal & State Funds,210355-44144,adopted,-97872,2016,-0.1892621499
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210355-44616,adopted,-242391,2016,-0.4687289702
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44670,General Assembly Appropriation,Federal & State Funds,210355-44670,adopted,-996,2016,-0.001926037082
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210355-45302,adopted,-280848,2016,-0.5430960466
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210355-45304,adopted,-45528,2016,-0.08804077939
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210355-45305,adopted,-36216,2016,-0.07003349293
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45313,Carolina Access Fees,User Charges,210355-45313,adopted,-47549,2016,-0.09194893294
210355,Family Planning Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49470,Duke University School of Nursing,Other,210355-49470,adopted,0,2016,0
210360,Family Planning Clinic-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210360-45309,adopted,-236628,2016,-0.4575846412
210360,Family Planning Clinic-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210360-47101,adopted,-138052,2016,-0.2669611157
210366,Cone Health Foundation Grant,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49535,Moses Cone-Wesley Long Community Health Foundation,Other,210366-49535,adopted,0,2016,0
210371,GAH-Adult Dental Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49467,Guilford Adult Health Refund,Other,210371-49467,adopted,-9600,2016,-0.01856421284
210385,High Risk Maternity Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210385-44616,adopted,-27903,2016,-0.05395804488
210395,Immunization Action Plan,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44119,Childhood Immunization Grant,Federal & State Funds,210395-44119,adopted,-54408,2016,-0.1052126763
210395,Immunization Action Plan,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210395-45302,adopted,-36432,2016,-0.07045118772
210395,Immunization Action Plan,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210395-45304,adopted,-684,2016,-0.001322700165
210395,Immunization Action Plan,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210395-45305,adopted,-19992,2016,-0.03865997324
210410,Maternity Clinic-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210410-45309,adopted,-150504,2016,-0.2910404468
210410,Maternity Clinic-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210410-47101,adopted,-799041,2016,-1.545163249
210415,Maternity-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210415-44616,adopted,-227040,2016,-0.4390436336
210415,Maternity-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210415-45302,adopted,-249204,2016,-0.48190376
210415,Maternity-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210415-45304,adopted,-30216,2016,-0.05843085991
210415,Maternity-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210415-45305,adopted,-3972,2016,-0.007680943062
210415,Maternity-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49507,Community,Other,210415-49507,adopted,-60096,2016,-0.1162119724
210416,Pregnancy Care Management,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210416-45302,adopted,0,2016,0
210420,Pregnancy Prevention,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44162,Temporary Assitance for Needy Families,Federal & State Funds,210420-44162,adopted,-43020,2016,-0.08319087878
210430,Refugee Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44165,Health Programs for Refugees,Federal & State Funds,210430-44165,adopted,-57000,2016,-0.1102250137
210430,Refugee Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210430-45302,adopted,-165828,2016,-0.3206735715
210430,Refugee Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210430-45304,adopted,-25044,2016,-0.04842939024
210430,Refugee Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210430-45305,adopted,-372,2016,-0.0007193632475
210435,Refugee Clinic-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210435-47101,adopted,-5250,2016,-0.0101523039
210445,STD Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210445-45302,adopted,-105672,2016,-0.2043455728
210445,STD Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210445-45304,adopted,0,2016,0
210446,Communicable Disease STD Drugs,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44619,Health-Communicable Disease,Federal & State Funds,210446-44619,adopted,-31908,2016,-0.06170280242
210450,TB-Medical Services,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44618,Health Program-Tuberculosis,Federal & State Funds,210450-44618,adopted,-5580,2016,-0.01079044871
210455,Vasectomy,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44147,Health Family Plan-Vasectomy,Federal & State Funds,210455-44147,adopted,-53001,2016,-0.1024918588
210455,Vasectomy,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210455-45304,adopted,-1584,2016,-0.003063095118
210465,HIV/STD Prevention Training Ctr,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49399,Miscellaneous,Other,210465-49399,adopted,-1200,2016,-0.002320526605
210505,Environmental Health-Admin,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210505-44613,adopted,0,2016,0
210505,Environmental Health-Admin,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,49309,Copies,Other,210505-49309,adopted,-96,2016,-0.0001856421284
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43110,Temporary Food Establishment Permit,User Charges,210510-43110,adopted,-8628,2016,-0.01668458629
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43222,Swimming Pool Permit,User Charges,210510-43222,adopted,-89928,2016,-0.1739002638
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,210510-44101,adopted,-3336,2016,-0.006451063961
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44648,Health-Environmental,Federal & State Funds,210510-44648,adopted,-54996,2016,-0.1063497343
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45108,Inspection Fees,User Charges,210510-45108,adopted,-600,2016,-0.001160263302
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45151,Fuel Fee,User Charges,210510-45151,adopted,-3504,2016,-0.006775937686
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45156,Inspection Fees-Multiple Trips,User Charges,210510-45156,adopted,-1200,2016,-0.002320526605
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45335,Sanitation Training Fees,User Charges,210510-45335,adopted,-26004,2016,-0.05028581153
210510,Food & Lodging,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45352,Swimming Pool Plan Reviews,User Charges,210510-45352,adopted,-24600,2016,-0.0475707954
210515,Hazardous Response,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43221,Well Permit-Annual Monitoring,User Charges,210515-43221,adopted,-401700,2016,-0.776796281
210515,Hazardous Response,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44197,United States Coast Guard,Federal & State Funds,210515-44197,adopted,-3096,2016,-0.00598695864
210515,Hazardous Response,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44690,Dept. of Environment & Natural Resources,Federal & State Funds,210515-44690,adopted,-15000,2016,-0.02900658256
210515,Hazardous Response,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210515-47101,adopted,-17948,2016,-0.03470734292
210520,Health Hazards,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43112,Tattoo Artist Permit,User Charges,210520-43112,adopted,-39996,2016,-0.07734315174
210520,Health Hazards,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45108,Inspection Fees,User Charges,210520-45108,adopted,-38004,2016,-0.07349107758
210530,Lead-HUD,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44194,HUD - Other Programs,Federal & State Funds,210530-44194,adopted,-34324,2016,-0.06637479599
210532,Lead-HUD Gsbo Healthy Homes,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44194,HUD - Other Programs,Federal & State Funds,210532-44194,adopted,-3561,2016,-0.0068861627
210535,Lead-State,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210535-44613,adopted,-504,2016,-0.000974621174
210535,Lead-State,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45308,Client Fees,User Charges,210535-45308,adopted,-504,2016,-0.000974621174
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43217,Septic Tank Permit,User Charges,210545-43217,adopted,-45000,2016,-0.08701974768
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,43218,Well Permits,User Charges,210545-43218,adopted,-85056,2016,-0.1644789258
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44648,Health-Environmental,Federal & State Funds,210545-44648,adopted,-4000,2016,-0.007735088683
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,44690,Dept. of Environment & Natural Resources,Federal & State Funds,210545-44690,adopted,-2500,2016,-0.004834430427
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45120,Sample Fees,User Charges,210545-45120,adopted,-14940,2016,-0.02889055623
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45121,Evaluation of Additions,User Charges,210545-45121,adopted,-39996,2016,-0.07734315174
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45122,Soil Evaluations,User Charges,210545-45122,adopted,-200004,2016,-0.3867621692
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45156,Inspection Fees-Multiple Trips,User Charges,210545-45156,adopted,-216,2016,-0.0004176947889
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45157,Well Application Fee,User Charges,210545-45157,adopted,-516,2016,-0.0009978264401
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45336,Well Consultation/Inspection,User Charges,210545-45336,adopted,-12984,2016,-0.02510809786
210545,On-site Sewage/Water Supplies,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45350,Consultation and Training Fees,User Charges,210545-45350,adopted,-100104,2016,-0.1935783294
210555,Water/Sewer Progm-Reserve Acct,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,45336,Well Consultation/Inspection,User Charges,210555-45336,adopted,-800,2016,-0.001547017737
210555,Water/Sewer Progm-Reserve Acct,100,General,100-General,210,Public Health,50,Environmental Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210555-47101,adopted,-7000,2016,-0.01353640519
210605,Dental-Children,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,45302,Medicaid,User Charges,210605-45302,adopted,-847476,2016,-1.638825504
210605,Dental-Children,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,45304,Self Pay,User Charges,210605-45304,adopted,-153864,2016,-0.2975379213
210610,Dental-Children-MedMax,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210610-45309,adopted,-98976,2016,-0.1913970344
210610,Dental-Children-MedMax,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210610-47101,adopted,-96472,2016,-0.1865548689
210615,Laboratory,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210615-44129,adopted,-9984,2016,-0.01930678135
210620,Medication Assistance Progm 1,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,49463,Wesley Long Community Health Refund,Other,210620-49463,adopted,-150000,2016,-0.2900658256
210620,Medication Assistance Progm 1,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,49507,Community,Other,210620-49507,adopted,-8220,2016,-0.01589560724
210625,Medication Assistance Progm 2,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210625-44613,adopted,-33996,2016,-0.06574051872
210630,Pharmacy Services,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,45304,Self Pay,User Charges,210630-45304,adopted,0,2016,0
210630,Pharmacy Services,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,45311,Drug Fees,User Charges,210630-45311,adopted,-59652,2016,-0.1153533775
210630,Pharmacy Services,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,49499,Miscellaneous Refunds,Other,210630-49499,adopted,0,2016,0
210635,WIC-Administration,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44116,Health Services WIC,Federal & State Funds,210635-44116,adopted,-140004,2016,-0.270735839
210640,WIC-Breastfeeding,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44116,Health Services WIC,Federal & State Funds,210640-44116,adopted,-200004,2016,-0.3867621692
210645,WIC-Breastfding Peer Counselor,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44116,Health Services WIC,Federal & State Funds,210645-44116,adopted,-118512,2016,-0.2291752075
210650,WIC-Client Services,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44116,Health Services WIC,Federal & State Funds,210650-44116,adopted,-1454472,2016,-2.812617477
210655,WIC-Nutrition Education,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44116,Health Services WIC,Federal & State Funds,210655-44116,adopted,-684264,2016,-1.323210681
210670,Smart Girls Grant,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,49535,Moses Cone-Wesley Long Community Health Foundation,Other,210670-49535,adopted,-33996,2016,-0.06574051872
210675,HIV/Syphilis Jail Screening,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210675-44129,adopted,-146820,2016,-0.2839164301
210676,United Way Venture Grant,100,General,100-General,210,Public Health,60,Allied Health,Human Services,Revenue,49511,United Way,Other,210676-49511,adopted,0,2016,0
210720,Local Response 3/Preparedness,100,General,100-General,210,Public Health,70,PH Preparedness,Human Services,Revenue,44190,Bioterrorism,Federal & State Funds,210720-44190,adopted,-80000,2016,-0.1547017737
230002,Agency General Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,230002-44101,adopted,-488748,2016,-0.9451272809
230002,Agency General Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44142,Social Services Block Grant,Federal & State Funds,230002-44142,adopted,-497764,2016,-0.9625621708
230002,Agency General Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44159,Medical Assistance Administration,Federal & State Funds,230002-44159,adopted,-1239265,2016,-2.396456169
230002,Agency General Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44162,Temporary Assitance for Needy Families,Federal & State Funds,230002-44162,adopted,-366475,2016,-0.7086791563
230002,Agency General Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44163,IVE Foster Care,Federal & State Funds,230002-44163,adopted,-183421,2016,-0.3546944253
230010,Medicaid Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44159,Medical Assistance Administration,Federal & State Funds,230010-44159,adopted,-5908410,2016,-11.42551883
230010,Medicaid Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,44659,Medical Assistance Admininstration,Federal & State Funds,230010-44659,adopted,-50882,2016,-0.09839419559
230010,Medicaid Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,45308,Client Fees,User Charges,230010-45308,adopted,0,2016,0
230010,Medicaid Administration,100,General,100-General,230,Social Services,2,Administration,Human Services,Revenue,49464,High Point Regional Health System Refund,Other,230010-49464,adopted,0,2016,0
